Id,SalePrice
2,117512.05491526709
4,274805.6545769075
6,184289.3860958165
7,211684.60530585976
17,225186.25591206702
18,334158.16473845526
22,208396.48371219067
27,112417.08117864908
31,106846.78327805849
36,143980.19406072082
39,356783.83156001114
40,242627.6331131223
42,298850.34388504934
46,211720.38202581898
53,184367.23323746535
58,166827.5987181634
61,287676.93396741885
72,227991.52700581655
79,107833.68089999785
80,213940.75722813344
82,164827.36431546372
83,104544.5456082716
85,151609.6320968622
88,123934.56233066885
92,286278.3451273821
93,284190.1064019579
95,189995.75800736545
102,209065.9643696348
103,183995.03525547034
106,242054.60993880502
107,199421.30638726152
110,228398.68459180664
114,198689.31575915407
116,188151.1386569648
117,156714.47085646816
118,146033.62564579892
125,169566.82688637427
126,152424.45204973803
127,131245.36754297334
128,226419.20879204958
134,142332.27557871194
135,163656.753859114
137,259806.5361582715
143,138999.41632079898
147,136839.35813129562
148,195211.48483079206
150,99632.71869959765
156,129233.64565824112
157,108859.36910583648
159,135053.655559876
161,275150.93269188114
167,135360.22000542269
170,158684.41888377204
171,82614.33651413939
175,112484.76210546562
179,115522.551255802
181,113361.59132650642
186,224104.69994630525
193,204132.32838762098
194,92782.21994196362
206,105043.65302953379
208,144155.58157828735
210,176708.7926106588
211,87519.80954309204
212,84299.93755264604
214,112519.99707347607
215,137560.846244392
217,115319.89672485618
222,141383.38105161104
227,143697.1254997373
228,169613.21290484173
233,248098.34748447547
235,104572.3424119394
238,144379.71394368837
241,170828.23999766583
252,187457.7454409811
253,198652.76686274828
256,144824.8511057755
257,143341.73100335937
258,188494.91901117816
259,188142.5920994188
261,144245.37566072674
263,131473.88287258934
266,235881.51040738443
267,234203.09626725488
270,169871.19725883412
271,259090.29106967145
276,100749.70427087691
285,164476.06480070463
288,75109.2862113733
289,156033.7472642422
290,127233.35498763698
291,129756.30472301679
292,130927.46792164746
293,199135.1233597029
294,235365.96074929734
295,178191.46191903454
304,130665.122161553
322,329869.12318902934
326,154229.5816085985
327,79442.92469895272
328,130757.05612459483
331,59477.25141630098
332,63868.781368061755
333,78723.66544090274
335,133892.26723976096
337,172334.4842938026
342,125000.7411642248
343,187772.222321077
347,172534.43615474168
350,310895.4442393053
352,189299.10100821208
358,187826.86119542085
359,182116.35145859938
360,168858.35415922903
368,292732.1912279852
369,252842.9366339186
